	item	count
0	Jeep Commander	15
1	Ford Fiesta Sedan	32
2	Lexus LS	116
3	Mazda CX-9	185
4	Rolls-Royce Phantom Coupe	25
5	Jeep Grand Cherokee	11
6	Mercedes-Benz E-Class Cabriolet	17
7	Audi S6	18
8	Hyundai Equus	52
9	Ford Transit Connect Wagon	11
10	Suzuki Grand Vitara	16
11	Kia Rio 5-Door	28
12	Dodge Ram 1500	26
13	Dodge Nitro	124
14	Acura ZDX	14
15	Ford Expedition	6
16	Mercedes-Benz E-Class Coupe	25
17	Audi A7	14
18	Ford Crown Victoria	27
19	Kia Optima	66
20	Nissan Altima Coupe	38
21	Toyota Corolla	6
22	GMC Yukon Hybrid	70
23	Porsche Cayenne	7
24	Lexus GS	12
25	Acura RDX	13
26	Hyundai Azera	10
27	Infiniti QX56	13
28	Honda Accord Coupe	21
29	Toyota 4Runner	10
30	Mercedes-Benz CLS-Class	12
31	Rolls-Royce Phantom Drophead Coupe	16
32	Ford E-250 Van	9
33	Audi A6 Avant	16
34	BMW X6	20
35	GMC Terrain	6
36	Chevrolet Suburban	7
37	Mercury Grand Marquis	27
38	Mazda Mazda3 4-Door	13
39	Kia Sportage	16
40	Scion xB	11
41	Volkswagen GTI 4-Door	23
42	Audi Q7	109
43	Dodge Journey	48
44	Mercedes-Benz G-Class	2
45	Volkswagen Golf R 4-Door	12
46	Mercedes-Benz SL-Class	8
47	BMW M3 Sedan	52
48	Ford Taurus	33
49	Kia Optima Hybrid	35
50	Aston Martin DBS Volante	9
51	Chevrolet Colorado	6
52	Nissan Sentra	6
53	Ford Explorer	6
54	BMW 5 Series Sedan	36
55	Kia Rio	6
56	Lamborghini Gallardo Spyder	38
57	Chevrolet Camaro Coupe	9
58	Dodge Dakota	25
59	Suzuki SX4 Sportback	20
60	Toyota Tacoma	29
61	Jaguar XJ	2
62	Cadillac CTS-V Wagon	16
63	Maybach 62	12
64	Bentley Azure T	36
65	Chevrolet HHR Panel	7
66	Nissan Armada	12
67	Hyundai Genesis Coupe	41
68	Mazda Mazda5	6
69	Toyota Avalon	26
70	Audi Q5	8
71	Lexus IS C	29
72	Land Rover Range Rover Sport	5
73	Cadillac CTS-V Coupe	9
74	Volvo XC60	24
75	Ford Flex	18
76	BMW M3 Convertible	24
77	Volvo XC70	12
78	BMW 5 Series Gran Turismo	6
79	Chevrolet Tahoe Hybrid	55
80	Toyota Yaris Sedan	15
81	Chevrolet Malibu Hybrid	24
82	Audi A5 Cabriolet	115
83	Lincoln Town Car	78
84	Maybach Landaulet	18
85	BMW X3	15
86	Hyundai Elantra Sedan	25
87	Mitsubishi Lancer Sportback	16
88	Volkswagen Passat	8
89	Volkswagen Jetta SportWagen	20
90	Rolls-Royce Phantom Sedan	22
91	lexus IS F	36
92	Chevrolet Aveo5	14
93	Scion tC	4
94	Infiniti FX	15
95	Chevrolet Malibu	6
96	Audi A5	6
97	Bentley Continental Supersports	10
98	Saab 9-3 SportCombi	7
99	Audi R8 Coupe	18
100	Mercedes-Benz E-Class Wagon	4
101	Jaguar XK Convertible	9
102	Mercury Mariner	5
103	Acura RL	29
104	Acura MDX	13
105	Volkswagen Touareg	20
106	BMW M3 Coup	12
107	Kia Forte 5-Door	7
108	Honda Accord Sedan	3
109	Mazda Mazdaspeed3	14
110	Dodge Avenger	24
111	Subaru Forester	20
112	Kia Forte	43
113	Hyundai Santa Fe	23
114	Dodge Challenger	25
115	BMW 3 Series Sports Wagon	23
116	Audi A5 Coupe	5
117	MINI Cooper Coupe	7
118	Mercedes-Benz GLK-Class	12
119	Chevrolet Corvette ZR1	13
120	Nissan Frontier	15
121	Volvo S40	15
122	Saab 9-5 Sedan	2
123	Kia Soul	19
124	Audi TT RS	8
125	Cadillac Escalade ESV	38
126	Lincoln MKZ Sedan	8
127	Infiniti G25	10
128	Toyota Tundra	9
129	Audi A4 Sedan	26
130	Chevrolet Suburban Half-Ton	23
131	Porsche 911 Coupe	12
132	Chevrolet Corvette Coupe	13
133	Subaru Legacy	24
134	Ferrari 612 Scaglietti	11
135	Lotus Evora	2
136	Hyundai Genesis Sedan	31
137	Audi A8	24
138	Buick Enclave	28
139	Mazda CX-7	33
140	Honda Accord Coup	17
141	Toyota FJ Cruiser	21
142	Cadillac Escalade Hybrid	14
143	Chevrolet HHR Wagon	18
144	Cadillac Escalade	7
145	Chevrolet Silverado 1500 Hybrid	6
146	Ford Edge	16
147	Suzuki SX4 Crossover	20
148	Mitsubishi Lancer Evolution	29
149	Saab 9-3 Convertible	2
150	Lincoln MKT	8
151	Lotus Exige	2
152	Mitsubishi Galant	12
153	Buick Verano	13
154	BMW 6 Series Coup	5
155	Mitsubishi Endeavor	28
156	BMW 3 Series Coup	13
157	Ford E-150 Wagon	5
158	BMW 1 Series Coupe	3
159	Mitsubishi Outlander Sport	9
160	Ford E-150 Van	15
161	Volvo S60	14
162	Lexus RX	24
163	Saab 9-4X	28
164	Volvo V70	12
165	Chevrolet Express	22
166	Suzuki Kizashi	4
167	Suzuki SX4 Sedan	16
168	Chevrolet Tahoe	12
169	Lexus LFA	8
170	Chevrolet Corvette Grand Sport Convertible	6
171	Ford Mustang Coup	11
172	Porsche 911 Cabriolet	17
173	Ford E-350 Super Duty Wagon	15
174	BMW Z4 Roadster	16
175	Chevrolet Aveo	15
176	Audi A4 Avant	7
177	Nissan Titan	3
178	Honda CR-Z	5
179	Mitsubishi Eclipse Coupe	13
180	Land Rover LR4	24
181	Buick Lucerne	28
182	Nissan Pathfinder	2
183	Chevrolet Corvette Convertible	6
184	GMC Yukon XL	6
185	Subaru Outback	24
186	Scion xD	15
187	Toyota Camry	14
188	Honda Accord Crosstour Hatchback	15
189	Dodge Grand Caravan	14
190	Rolls-Royce Ghost	14
191	Kia Rio5	11
192	BMW 1 Series Convertible	17
193	Acura TL	3
194	Chrysler 300	8
195	Volvo C30	10
196	Hyundai Accent Sedan	6
197	Cadillac CTS Sport Wagon	9
